5.000168291957665900e+01 9.646070153212943712e-03 0.000000000000000000e+00 3.333445527969980220e-03
4.999834969626357406e+01 9.639251624221760809e-03 0.000000000000000000e+00 3.333112213056773666e-03
4.999501669515056079e+01 9.613524978196558504e-03 0.000000000000000000e+00 3.332890020379892463e-03
4.999168391622281149e+01 9.606395317565739542e-03 0.000000000000000000e+00 3.332667842521979361e-03
4.998835135946551134e+01 9.645796950498117597e-03 0.000000000000000000e+00 3.332445679481057209e-03
4.998501902486385262e+01 9.793912636725415552e-03 0.000000000000000000e+00 3.332223531240947108e-03
4.998168691240302763e+01 9.687963100647832906e-03 0.000000000000000000e+00 3.332001397813879728e-03
4.997835502206822156e+01 9.586780654984155062e-03 0.000000000000000000e+00 3.331779279197877048e-03
4.997502335384463379e+01 9.585632466002115548e-03 0.000000000000000000e+00 3.331557175390964954e-03
4.997169190771744951e+01 9.584767701926883918e-03 0.000000000000000000e+00 3.331335086376973655e-03
4.996836068367186812e+01 9.585025686824134514e-03 0.000000000000000000e+00 3.331113012182319952e-03
4.996502968169308900e+01 9.620259464140610423e-03 0.000000000000000000e+00 3.330890952776644019e-03
4.996169890176630446e+01 9.615288209623342602e-03 0.000000000000000000e+00 3.330668908193449435e-03
4.995836834387671388e+01 9.592172290443510760e-03 0.000000000000000000e+00 3.330446878395287424e-03
4.995503800800951666e+01 9.596460145668637975e-03 0.000000000000000000e+00 3.330224863401470663e-03
4.995170789414990509e+01 9.605949610335829530e-03 0.000000000000000000e+00 3.330002863210022868e-03
4.994837800228308566e+01 9.628002019576710133e-03 0.000000000000000000e+00 3.329780877826061039e-03
4.994504833239425778e+01 9.791075782128665431e-03 0.000000000000000000e+00 3.329558907233429264e-03
4.994171888446862795e+01 9.875924123897211401e-03 0.000000000000000000e+00 3.329336951430159498e-03
4.993838965849139555e+01 9.915529585759483636e-03 0.000000000000000000e+00 3.329115010428455521e-03
4.993506065444776709e+01 9.944796433117944826e-03 0.000000000000000000e+00 3.328893084226344085e-03
4.993173187232294907e+01 9.703976572411496249e-03 0.000000000000000000e+00 3.328671172814765596e-03
4.992840331210214089e+01 9.619728545462212857e-03 0.000000000000000000e+00 3.328449276191746374e-03
4.992507497377055614e+01 9.957593400268664394e-03 0.000000000000000000e+00 3.328227394369488029e-03
4.992174685731340134e+01 1.006565163251055967e-02 0.000000000000000000e+00 3.328005527331845924e-03
4.991841896271589007e+01 1.004760239530939035e-02 0.000000000000000000e+00 3.327783675091016465e-03
4.991509128996322886e+01 9.681916460162559579e-03 0.000000000000000000e+00 3.327561837630863256e-03
4.991176383904062419e+01 9.737775273549385130e-03 0.000000000000000000e+00 3.327340014963578365e-03
4.990843660993329678e+01 9.718622621870594627e-03 0.000000000000000000e+00 3.327118207087188112e-03
4.990510960262645312e+01 9.666404740932284245e-03 0.000000000000000000e+00 3.326896413992641143e-03
4.990178281710531394e+01 9.640052570581394281e-03 0.000000000000000000e+00 3.326674635685047086e-03
4.989845625335509283e+01 9.909585243851538189e-03 0.000000000000000000e+00 3.326452872148279085e-03
4.989512991136100339e+01 1.010867538197153179e-02 0.000000000000000000e+00 3.326231123415751816e-03
4.989180379110826635e+01 1.006477736872304560e-02 0.000000000000000000e+00 3.326009389450110612e-03
4.988847789258209531e+01 9.721737916615199801e-03 0.000000000000000000e+00 3.325787670277687708e-03
4.988515221576771097e+01 9.686626568995642533e-03 0.000000000000000000e+00 3.325565965882360149e-03
4.988182676065033405e+01 9.632987617150133922e-03 0.000000000000000000e+00 3.325344276269231927e-03
4.987850152721518526e+01 9.612967155629020127e-03 0.000000000000000000e+00 3.325122601422190061e-03
4.987517651544748531e+01 9.605411599549079985e-03 0.000000000000000000e+00 3.324900941353409276e-03
4.987185172533246202e+01 9.606396310659829144e-03 0.000000000000000000e+00 3.324679296075056922e-03
4.986852715685533610e+01 9.703233683233345244e-03 0.000000000000000000e+00 3.324457665571020886e-03
4.986520281000133537e+01 9.787314728204909650e-03 0.000000000000000000e+00 3.324236049825198165e-03
4.986187868475568763e+01 9.801367329233810419e-03 0.000000000000000000e+00 3.324014448856825541e-03
4.985855478110361361e+01 9.701766206695083480e-03 0.000000000000000000e+00 3.323792862670994861e-03
4.985523109903034822e+01 9.606887162782953501e-03 0.000000000000000000e+00 3.323571291251605723e-03
4.985190763852111218e+01 9.643357210041027944e-03 0.000000000000000000e+00 3.323349734603753443e-03
4.984858439956114040e+01 9.786368333980053832e-03 0.000000000000000000e+00 3.323128192718405750e-03
4.984526138213566782e+01 9.778589282197087604e-03 0.000000000000000000e+00 3.322906665614782946e-03
4.984193858622992224e+01 9.593378914578364058e-03 0.000000000000000000e+00 3.322685153262667015e-03
4.983861601182913148e+01 9.598388726327186996e-03 0.000000000000000000e+00 3.322463655695393273e-03
4.983529365891853757e+01 9.699814433677393655e-03 0.000000000000000000e+00 3.322242172875694219e-03
4.983197152748337544e+01 9.731952720908994270e-03 0.000000000000000000e+00 3.322020704829838338e-03
4.982864961750887289e+01 9.717698343391008645e-03 0.000000000000000000e+00 3.321799251555853684e-03
4.982532792898027196e+01 9.685162574035472566e-03 0.000000000000000000e+00 3.321577813030601213e-03
4.982200646188281468e+01 1.002915141545373048e-02 0.000000000000000000e+00 3.321356389273283014e-03
4.981868521620173595e+01 1.013040854736942803e-02 0.000000000000000000e+00 3.321134980267822969e-03
4.981536419192227783e+01 1.001047454582253832e-02 0.000000000000000000e+00 3.320913586026360241e-03
4.981204338902967521e+01 9.622151645129264907e-03 0.000000000000000000e+00 3.320692206553978437e-03
4.980872280750917724e+01 9.604207408185752581e-03 0.000000000000000000e+00 3.320470841820501607e-03
4.980540244734601885e+01 9.594865554276089600e-03 0.000000000000000000e+00 3.320249491866269879e-03
4.980208230852544915e+01 9.618051436038322494e-03 0.000000000000000000e+00 3.320028156654061726e-03
4.979876239103271018e+01 9.654575075803389916e-03 0.000000000000000000e+00 3.319806836196011971e-03
4.979544269485305108e+01 9.584728444258320060e-03 0.000000000000000000e+00 3.319585530497201186e-03
