# wavelength(um) transit_depth error
5.00016829e+01 9.65103729e-03 1.00000000e-05
4.99983497e+01 9.63786898e-03 1.00000000e-05
4.99950167e+01 9.62000186e-03 1.00000000e-05
4.99916839e+01 9.62162562e-03 1.00000000e-05
4.99883514e+01 9.64345542e-03 1.00000000e-05
4.99850190e+01 9.79157127e-03 1.00000000e-05
4.99816869e+01 9.70375523e-03 1.00000000e-05
4.99783550e+01 9.59445500e-03 1.00000000e-05
4.99750234e+01 9.58093772e-03 1.00000000e-05
4.99716919e+01 9.59019330e-03 1.00000000e-05
4.99683607e+01 9.58039151e-03 1.00000000e-05
4.99650297e+01 9.61560217e-03 1.00000000e-05
4.99616989e+01 9.61770783e-03 1.00000000e-05
4.99583683e+01 9.57303949e-03 1.00000000e-05
4.99550380e+01 9.57921097e-03 1.00000000e-05
4.99517079e+01 9.60032674e-03 1.00000000e-05
4.99483780e+01 9.61787371e-03 1.00000000e-05
4.99450483e+01 9.79421826e-03 1.00000000e-05
4.99417189e+01 9.86684388e-03 1.00000000e-05
4.99383897e+01 9.90140655e-03 1.00000000e-05
4.99350607e+01 9.95945292e-03 1.00000000e-05
4.99317319e+01 9.70171881e-03 1.00000000e-05
4.99284033e+01 9.62040383e-03 1.00000000e-05
4.99250750e+01 9.94334592e-03 1.00000000e-05
4.99217469e+01 1.00602078e-02 1.00000000e-05
4.99184190e+01 1.00487116e-02 1.00000000e-05
4.99150913e+01 9.67040652e-03 1.00000000e-05
4.99117638e+01 9.74153225e-03 1.00000000e-05
4.99084366e+01 9.71261623e-03 1.00000000e-05
4.99051096e+01 9.66348780e-03 1.00000000e-05
4.99017828e+01 9.63403550e-03 1.00000000e-05
4.98984563e+01 9.92810803e-03 1.00000000e-05
4.98951299e+01 1.01085404e-02 1.00000000e-05
4.98918038e+01 1.00542003e-02 1.00000000e-05
4.98884779e+01 9.72996337e-03 1.00000000e-05
4.98851522e+01 9.67441813e-03 1.00000000e-05
4.98818268e+01 9.63507625e-03 1.00000000e-05
4.98785015e+01 9.59337045e-03 1.00000000e-05
4.98751765e+01 9.59212974e-03 1.00000000e-05
4.98718517e+01 9.60836492e-03 1.00000000e-05
4.98685272e+01 9.71061835e-03 1.00000000e-05
4.98652028e+01 9.78902841e-03 1.00000000e-05
4.98618787e+01 9.80021085e-03 1.00000000e-05
4.98585548e+01 9.69875517e-03 1.00000000e-05
4.98552311e+01 9.59210194e-03 1.00000000e-05
4.98519076e+01 9.63615877e-03 1.00000000e-05
4.98485844e+01 9.78176195e-03 1.00000000e-05
4.98452614e+01 9.78916050e-03 1.00000000e-05
4.98419386e+01 9.59681510e-03 1.00000000e-05
4.98386160e+01 9.58075832e-03 1.00000000e-05
4.98352937e+01 9.70305527e-03 1.00000000e-05
4.98319715e+01 9.72810190e-03 1.00000000e-05
4.98286496e+01 9.71092912e-03 1.00000000e-05
4.98253279e+01 9.69127934e-03 1.00000000e-05
4.98220065e+01 1.00394614e-02 1.00000000e-05
4.98186852e+01 1.01397213e-02 1.00000000e-05
4.98153642e+01 1.00020824e-02 1.00000000e-05
4.98120434e+01 9.61905952e-03 1.00000000e-05
4.98087228e+01 9.60752004e-03 1.00000000e-05
4.98054024e+01 9.60462101e-03 1.00000000e-05
4.98020823e+01 9.61325969e-03 1.00000000e-05
4.97987624e+01 9.65271849e-03 1.00000000e-05
4.97954427e+01 9.57366509e-03 1.00000000e-05
4.97921232e+01 9.61419398e-03 1.00000000e-05
4.97888040e+01 9.63727597e-03 1.00000000e-05
4.97854849e+01 9.63836852e-03 1.00000000e-05
4.97821661e+01 9.59636455e-03 1.00000000e-05
4.97788475e+01 9.61052728e-03 1.00000000e-05
4.97755292e+01 9.58810549e-03 1.00000000e-05
4.97722110e+01 9.56271884e-03 1.00000000e-05
4.97688931e+01 9.58277010e-03 1.00000000e-05
4.97655754e+01 9.77553865e-03 1.00000000e-05
4.97622579e+01 9.77302411e-03 1.00000000e-05
4.97589406e+01 9.67914697e-03 1.00000000e-05
4.97556236e+01 9.54073616e-03 1.00000000e-05
4.97523068e+01 9.57480927e-03 1.00000000e-05
4.97489902e+01 9.57326205e-03 1.00000000e-05
4.97456738e+01 9.58087229e-03 1.00000000e-05
4.97423576e+01 9.57016289e-03 1.00000000e-05
4.97390417e+01 9.54676718e-03 1.00000000e-05
4.97357260e+01 9.56627611e-03 1.00000000e-05
4.97324105e+01 9.57286218e-03 1.00000000e-05
4.97290952e+01 9.59909456e-03 1.00000000e-05
4.97257802e+01 9.71883528e-03 1.00000000e-05
4.97224653e+01 9.56583117e-03 1.00000000e-05
4.97191507e+01 9.57262353e-03 1.00000000e-05
4.97158363e+01 9.85105873e-03 1.00000000e-05
4.97125222e+01 1.00624573e-02 1.00000000e-05
4.97092082e+01 9.94954470e-03 1.00000000e-05
4.97058945e+01 9.61615299e-03 1.00000000e-05
4.97025810e+01 9.57276819e-03 1.00000000e-05
4.96992677e+01 9.57956365e-03 1.00000000e-05
4.96959546e+01 9.56264698e-03 1.00000000e-05
4.96926418e+01 9.57561147e-03 1.00000000e-05
4.96893292e+01 9.58539459e-03 1.00000000e-05
4.96860168e+01 9.64917639e-03 1.00000000e-05
4.96827046e+01 9.66387063e-03 1.00000000e-05
4.96793926e+01 9.67276503e-03 1.00000000e-05
4.96760809e+01 9.66747434e-03 1.00000000e-05
4.96727694e+01 9.63024341e-03 1.00000000e-05
4.96694581e+01 9.60104080e-03 1.00000000e-05
4.96661470e+01 9.61667670e-03 1.00000000e-05
4.96628362e+01 9.58714362e-03 1.00000000e-05
4.96595255e+01 9.57843633e-03 1.00000000e-05
4.96562151e+01 9.58386034e-03 1.00000000e-05
4.96529049e+01 9.57975032e-03 1.00000000e-05
4.96495949e+01 9.59367192e-03 1.00000000e-05
4.96462852e+01 9.57755244e-03 1.00000000e-05
4.96429757e+01 9.57831230e-03 1.00000000e-05
4.96396663e+01 9.57541757e-03 1.00000000e-05
4.96363573e+01 9.55836538e-03 1.00000000e-05
4.96330484e+01 9.57894564e-03 1.00000000e-05
4.96297397e+01 9.58004537e-03 1.00000000e-05
4.96264313e+01 9.60905521e-03 1.00000000e-05
4.96231231e+01 9.58222657e-03 1.00000000e-05
4.96198151e+01 9.58353173e-03 1.00000000e-05
4.96165073e+01 9.58023576e-03 1.00000000e-05
4.96131998e+01 9.57013071e-03 1.00000000e-05
4.96098925e+01 9.61228489e-03 1.00000000e-05
4.96065854e+01 9.60345489e-03 1.00000000e-05
4.96032785e+01 9.90096294e-03 1.00000000e-05
4.95999718e+01 1.00839915e-02 1.00000000e-05
4.95966654e+01 1.00123672e-02 1.00000000e-05
4.95933591e+01 9.62943439e-03 1.00000000e-05
4.95900531e+01 9.59361195e-03 1.00000000e-05
4.95867474e+01 9.60923046e-03 1.00000000e-05
4.95834418e+01 9.57697814e-03 1.00000000e-05
4.95801365e+01 9.58156498e-03 1.00000000e-05
4.95768313e+01 9.58894358e-03 1.00000000e-05
4.95735264e+01 9.60241392e-03 1.00000000e-05
4.95702217e+01 9.58857676e-03 1.00000000e-05
4.95669173e+01 9.59792992e-03 1.00000000e-05
4.95636130e+01 9.64379745e-03 1.00000000e-05
4.95603090e+01 9.70719489e-03 1.00000000e-05
4.95570052e+01 9.66644090e-03 1.00000000e-05
4.95537016e+01 9.67310444e-03 1.00000000e-05
4.95503983e+01 9.58759159e-03 1.00000000e-05
4.95470951e+01 9.59228295e-03 1.00000000e-05
4.95437922e+01 9.60379275e-03 1.00000000e-05
4.95404895e+01 9.58429655e-03 1.00000000e-05
4.95371870e+01 9.59972071e-03 1.00000000e-05
4.95338848e+01 9.61174555e-03 1.00000000e-05
4.95305828e+01 9.60515486e-03 1.00000000e-05
4.95272809e+01 9.89211568e-03 1.00000000e-05
4.95239793e+01 9.95097663e-03 1.00000000e-05
4.95206780e+01 9.61717138e-03 1.00000000e-05
4.95173768e+01 9.59137649e-03 1.00000000e-05
4.95140759e+01 9.59121795e-03 1.00000000e-05
4.95107751e+01 9.61066609e-03 1.00000000e-05
4.95074746e+01 9.60985082e-03 1.00000000e-05
4.95041744e+01 9.62980721e-03 1.00000000e-05
4.95008743e+01 9.63545143e-03 1.00000000e-05
4.94975745e+01 9.61358501e-03 1.00000000e-05
4.94942748e+01 9.61367356e-03 1.00000000e-05
4.94909754e+01 9.64648206e-03 1.00000000e-05
4.94876763e+01 9.62995180e-03 1.00000000e-05
4.94843773e+01 9.63406289e-03 1.00000000e-05
4.94810786e+01 9.62140861e-03 1.00000000e-05
4.94777801e+01 9.60623848e-03 1.00000000e-05
4.94744818e+01 9.62633340e-03 1.00000000e-05
4.94711837e+01 9.61161785e-03 1.00000000e-05
4.94678858e+01 9.63095450e-03 1.00000000e-05
4.94645882e+01 9.63638829e-03 1.00000000e-05
4.94612908e+01 9.61883922e-03 1.00000000e-05
4.94579936e+01 9.63832814e-03 1.00000000e-05
4.94546966e+01 9.63952150e-03 1.00000000e-05
4.94513998e+01 9.80634389e-03 1.00000000e-05
4.94481033e+01 9.79540392e-03 1.00000000e-05
4.94448070e+01 9.64189423e-03 1.00000000e-05
4.94415109e+01 9.63265757e-03 1.00000000e-05
4.94382150e+01 9.63418185e-03 1.00000000e-05
4.94349193e+01 9.63792398e-03 1.00000000e-05
4.94316239e+01 9.64847585e-03 1.00000000e-05
4.94283287e+01 9.65623552e-03 1.00000000e-05
4.94250337e+01 9.65963011e-03 1.00000000e-05
4.94217389e+01 9.66952252e-03 1.00000000e-05
4.94184443e+01 9.66628923e-03 1.00000000e-05
4.94151500e+01 9.68728207e-03 1.00000000e-05
4.94118558e+01 9.67740434e-03 1.00000000e-05
4.94085619e+01 9.71366330e-03 1.00000000e-05
4.94052682e+01 9.70259283e-03 1.00000000e-05
4.94019748e+01 9.70066666e-03 1.00000000e-05
4.93986815e+01 9.71804749e-03 1.00000000e-05
4.93953885e+01 9.77705805e-03 1.00000000e-05
4.93920957e+01 9.83803882e-03 1.00000000e-05
4.93888031e+01 9.88536480e-03 1.00000000e-05
4.93855108e+01 9.76242835e-03 1.00000000e-05
